client_id,client_name,variable,alias,monitoring_status,comment
964158864650014720,sberbank,sber_potreb_pd_2022_02,PD_BNPL,1,
964158864650014720,sberbank,sber_potreb_pd_2022_02,PD_CC,1,
1225049198769094703,vtb_bank,vtb_pd_2022_06_full_vec_rtk_v4,SCORE4_TEL_2207,1,
1072148588244635649,mtsbank,mts_bank_pd_20220721,MTSB_SCORE1,1,
1072148588244635649,mtsbank,ss_mtsbank_p20_20220524,MTSB_SOCSCORE,1,
988684570109022208,Zaimer,univers_risk_mfo_200228,SCORE2,1,
988684570109022208,Zaimer,moneyman_210809,SCORE3,1,
988684570109022208,Zaimer,MIGCREDIT_201801_MF_NMF_MODEL,ZAYMER_SCORE,1,
1100325199703838720,alfabank,alfa_kk_20220225_pd_2022_03,ALFA_CC_2022_06_SCORE,1,
1100325199703838720,alfabank,alfa_kk_20220225_pd_2022_03,CRM_ALFA_CC_2022_06_SCORE,0,Нет запросов до 2023-09-06
1100325199703838720,alfabank,ALFA_CC_CHF0_SCORE_V2,CRM_ALFA_CC_CHF0_SCORE,0,Нет запросов до 2023-09-06
1100325199703838720,alfabank,ALFA_CC_CHF0_SCORE_V2,ALFA_CC_CHF0_SCORE,1,
1100325199703838720,alfabank,ALFA_CC_CHF1_SCORE_V2,ALFA_CC_CHF1_SCORE,1,
1100325199703838720,alfabank,ALFA_CC_CHF1_SCORE_V2,CRM_ALFA_CC_CHF1_SCORE,0,Нет запросов до 2023-09-06
1100325199703838720,alfabank,alfa_pil_20220225_pd_2022_03,ALFA_PIL_2022_06_SCORE,1,
1100325199703838720,alfabank,alfa_pil_20220225_pd_2022_03,CRM_ALFA_PIL_2022_06_SCORE,0,Нет запросов до 2023-09-06
1100325199703838720,alfabank,ALFA_PIL_CHF0_SCORE_V2,ALFA_PIL_CHF0_SCORE,1,
1100325199703838720,alfabank,ALFA_PIL_CHF0_SCORE_V2,CRM_ALFA_PIL_CHF0_SCORE,0,Нет запросов до 2023-09-06
1100325199703838720,alfabank,ALFA_PIL_CHF1_SCORE_V2,ALFA_PIL_CHF1_SCORE,1,
1100325199703838720,alfabank,ALFA_PIL_CHF1_SCORE_V2,CRM_ALFA_PIL_CHF1_SCORE,0,Нет запросов до 2023-09-06
1100325199703838720,alfabank,ss_alfa21_m133_features,ALFA_SS_CARD_202105,1,
1100325199703838720,alfabank,ss_alfa21_m133_features,CRM_ALFA_SS_CARD_202105,0,Нет запросов до 2023-09-06
1100325199703838720,alfabank,ss_alfa_cash_m108_features,ALFA_SS_CASH_202105,1,
1100325199703838720,alfabank,ss_alfa_cash_m108_features,CRM_ALFA_SS_CASH_202105,0,Нет запросов до 2023-09-06
1100325199703838720,alfabank,sberbank_antifraud_20191108,FRAUD_SCORE,1,
1100325199703838720,alfabank,sberbank_antifraud_20191108,CRM_FRAUD_SCORE,0,Нет запросов до 2023-09-06
1225049198769094687,avito,avito_202108_mf_nmf,SCORE1,1,
1225049198769094687,avito,avito_antifraud_2023_07,SCORE2,0,"Менее 3 месяцев с первого запроса, 2023-09-06"
1049973752869294080,HomeCreditBank,otp_risk_score_update_202006_mf_nmf_score,MEG_HCFB_202111,1,
1049973752869294080,HomeCreditBank,hcb_def60_mf_nmf_201809_model,MEG_HCFB_6_60_201906,1,
1113745849910956032,uralsib,uralsib_pd_v2_online_2022_04,URALSIB_201901_SCORE_DEFAULT,1,
1113745849910956032,uralsib,uralsib_all_default_20200502,URALSIB_201901_SCORE_FRAUD,1,
1190208519765372928,academic,rencred_il_bad90_4mob_model_201903,SCORE,1,
1190208519765372928,academic,univers_risk_mfo_200228,SCORE_2,1,
1225049198769094903,A4technology,ALFA_CC_CHF0_SCORE_V2,ALFA_CC_CHF0_SCORE,1,
1225049198769094903,A4technology,ALFA_PIL_CHF1_SCORE_V2,ALFA_PIL_CHF1_SCORE,1,
1225049198769094903,A4technology,birthday_model_validation_20200528_v11_score,SCORE1,0,Нет запросов до 2023-09-06
1225049198769094903,A4technology,hcb_no_job_20190904_score,SCORE2,1,
1022084528015020032,Ubrir,ubrr_201904_mf_nmf,UBRR_SCORE_V2,1,
1022084528015020032,Ubrir,rencred_mlc_mf_nmf_model_v2,UBRR_SCORE,1,
1225049198769094867,аmoney,univers_risk_mfo_200228,SCORE2,1,
1225049198769094867,аmoney,moneyman_210809,SCORE3,1,
1197059520237547520,atb_bank,atb_14072020_fraud_model_score_long2,SCORE_fraud_def,1,
1083280894933995520,sovcombank,otp_risk_score_update_202006_mf_nmf_score,SCORE1,1,
1037267819047292928,Raiffeisenbank,raiffeisen_all_201806,SCORE,1,
907151576219652096,MigKredit,mig_def_model_200418,SCORE,1,
